Month,Real,Predicted
2017-01-01,6295.23,5778.2935
2017-02-01,5351.51,7405.1646
2017-03-01,5605.4,7562.492
2017-04-01,5634.8,7122.355
2017-05-01,5678.79,7265.219
2017-06-01,7112.36,7291.906
2017-07-01,7634.4,7673.5166
2017-08-01,7955.61,8567.914
2017-09-01,8238.4,8925.972
2017-10-01,9423.99,9167.387
2017-11-01,12778.9,9612.901
2017-12-01,15013.129999999997,11075.521
2018-01-01,12787.81,13403.963
2018-02-01,12606.94,14035.196
2018-03-01,11617.160000000002,12814.933
2018-04-01,11625.12,12474.587
2018-05-01,12683.49,11952.492
2018-06-01,11813.14,12218.561
2018-07-01,11746.63,12563.558
2018-08-01,11585.36,12086.369
2018-09-01,12335.57,12011.2295
2018-10-01,12128.55,12111.454
2018-11-01,12247.06,12457.429
2018-12-01,12210.55,12377.159
2019-01-01,12923.26,12430.858
2019-02-01,11096.77,12587.704
2019-03-01,10637.65,12513.27
2019-04-01,11486.74,11432.105
2019-05-01,11100.26,11399.097
2019-06-01,10732.36,11753.434
2019-07-01,10985.01,11457.431
2019-08-01,11709.58,11324.977
2019-09-01,12136.94,11638.444
2019-10-01,12980.59,12128.101
2019-11-01,13186.75,12562.92
2019-12-01,12758.36,13060.058
2020-01-01,13630.29,13063.283
2020-02-01,12616.67,13052.05
2020-03-01,15718.58,13262.741
2020-04-01,15658.729999999998,13492.075
2020-05-01,21585.72,15113.439
2020-06-01,27912.76,16532.951
2020-07-01,30894.07,21162.193
2020-08-01,35392.12,25145.844
2020-09-01,44700.47,27735.719
2020-10-01,56129.74,32177.908
2020-11-01,141837.07,39380.586
2020-12-01,88822.00999999998,61471.625
2021-01-01,81959.61,87256.75
