Month,Real,Predicted
2017-01-01,486.48999999999995,631.8714
2017-02-01,540.26,671.37524
2017-03-01,578.97,648.0482
2017-04-01,631.62,693.07874
2017-05-01,656.75,731.89655
2017-06-01,718.96,772.39453
2017-07-01,784.72,804.75397
2017-08-01,835.98,861.683
2017-09-01,881.8899999999999,916.8977
2017-10-01,1055.68,961.3104
2017-11-01,1124.73,1034.8159
2017-12-01,1160.11,1161.6154
2018-01-01,1294.04,1213.6619
2018-02-01,1316.46,1269.1852
2018-03-01,1428.62,1357.6776
2018-04-01,1857.88,1399.198
2018-05-01,2039.47,1572.4508
2018-06-01,1665.46,1873.258
2018-07-01,1484.0600000000002,1892.718
2018-08-01,1550.1600000000003,1625.5892
2018-09-01,1751.7800000000002,1531.5562
2018-10-01,1575.4200000000003,1620.5101
2018-11-01,1499.33,1699.6548
2018-12-01,1539.5500000000002,1574.7441
2019-01-01,1529.91,1538.2709
2019-02-01,1515.04,1560.388
2019-03-01,1470.99,1550.9125
2019-04-01,1501.8600000000001,1531.1361
2019-05-01,1633.5900000000001,1511.8174
2019-06-01,1490.24,1562.6571
2019-07-01,1598.22,1607.8033
2019-08-01,1520.63,1547.0067
2019-09-01,1706.8800000000003,1593.742
2019-10-01,1840.05,1591.7932
2019-11-01,1632.3300000000002,1736.0344
2019-12-01,1803.4199999999998,1766.2048
2020-01-01,1636.94,1682.4993
2020-02-01,1808.84,1745.3844
2020-03-01,1948.76,1686.572
2020-04-01,2277.88,1822.7463
2020-05-01,2627.09,1982.562
2020-06-01,3015.09,2253.6196
2020-07-01,3855.75,2537.7805
2020-08-01,4229.97,2929.9314
2020-09-01,5178.04,3448.2583
2020-10-01,6329.01,3816.0967
2020-11-01,14380.889999999998,4468.285
2020-12-01,10428.5,6009.18
2021-01-01,8825.92,8112.144
