Date,Base Set 1st Ed.,Base Set 1st Ed. Holos,Base Set Shadowless,Base Set Shadowless Holos,Base Set Unlimited,Base Set Unlimited Holos,Jungle 1st Edition,Jungle 1st Ed. Holo,Jungle Unlimited,Jungle Unlimited Holos,Fossil 1st Ed.,Fossil 1st Ed. Holos,Fossil Unlimited,Fossil Unlimited Holos,Team Rocket 1st Ed,Team Rocket 1st Ed Holos,Team Rocket Unlimited,Team Rocket Unliimted Holos,Gym Heroes 1st Edition,Gym Heroes 1st Edition Holos,Gym Heroes Unlimited,Gym Heroes Unlimited Holos,Gym Challenge 1st Edition,Gym Challenge1st Edition Holos,Gym Challenge Unlimited,Gym Challenge Unlimited Holos,Neo Genesis 1st Edition,Neo Genesis 1st Edition Holos,Neo Genesis 1st Edition,Neo Genesis 1st Edition Holos,Neo Genesis Unlimited,Neo Genes Unliited Holos,Neo Discovery 1st Edition,Neo Discovery 1st Edition Holos,Neo Discovery Unlimited,Neo Discovery Unlimited Holos,Neo Revelation 1st Edition,Neo Revelation 1st Edition Holos,Neo Revelation Unlimited,Neo Revelation Unlimited Holos,Neo Destiny 1st Edition,Neo Destiny 1st Edition Holos,Neo Destiny Unlimited,Neo Destiny Unlimited Holos,Base Set II,Base Set II Holos,Legendary Collection Inc. Reverses,Legendary Collection Exc. Reverses,Leendary Collection Holos Inc. Reverses,Legendary Collection Holos Exc. Reverses,Expedition Base Set Inc. Reverses,Expedition Base Set Exc. Reverses,Expedition Base Set Holos Inc. Reverses,Expedition Base Set Holos Exc. Reverses,Aquapolis Inc. Reverses,Aquapolis Exc. Reverses,Aquapolis Holos Inc. Reverses,Aquapolis Holos Exc. Reverses,Skyridfe Inc. Reverses,Skyridge Exc. Reverses,Skyridge Holos Inc. Reverses,Skyridge Holos Exc. Reverses,EX Ruby & Sapphire Holos Exc. Reverses,EX Ruby & Sapphire EX Holos Only,EX Sandstorm Holos Exc. Reverses,EX Sandstorm EX Holos Only,EX Dragon Holos Exc. Reverses,EX Dragon EX Holos Only,EX Team Magma vs. Team Aqua Holos Exc. Reverses,EX Team Magma vs. Team Aqua EX Holos Only,EX Hidden Legends Holos Exc. Reverses,EX Hidden Legends EX Holos Only,EX Fire Red Leaf Green Holos Exc. Reverses,EX Fire Red Leaf Green EX Holos Only,EX Team Rocket Returns Holos Holos Exc. Reverses,EX Team Rocket Returns EX Holos Only,EX Deoxys Holos Exc. Reverses,EX Deoxys EX Holos Only,EX Emerald Holos Exc. Reverses,EX Emerald EX Holos Only,EX Unseen Forces Holos Exc. Reverses,EX Unseen Forces EX Holos Only,EX Delta Species Holos Exc. Reverses,EX Delta Species EX Holos Only,EX Legend Maker Holos Exc. Reverses,EX Legend Maker EX Holos Only,EX Holon Phantoms Holos Exc. Reverses,EX Holon Phantoms EX Holos Only,EX Crystal Guardians Holos Exc. Reverses,EX Crystal Guardians EX Holos Only,EX Dragon Frontiers Holos Exc. Reverses,EX Dragon Frontiers EX Holos Only,EX Power Keepers Holos Exc. Reverses,EX Power Keepers EX Holos Only,EX Set Gold Star Holos
10/1/2016,3788.38,2858.07,369.87,369.87,459.94,454.94,510.21,262.05,51,41,805.42,483.52,92.01,92.01,273.22,195.98,,,242.35,205.53,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.51,,,,,,,,,,,,298.45
11/1/2016,6636.07,5558.35,951.71,933.2,544.3,529.29,881.14,479.17,76.45,66.45,985.6,662.26,111.91,111.91,383.61,240.43,23.5,23.5,290.98,244.17,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.19
12/1/2016,7437.45,6295.23,1466.5,1397.01,486.49,415.98,1009.54,534.77,98.95,81.95,782.07,447.74,118.97,111.47,560.11,307.17,35,35,364.49,317.68,50.37,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.96,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786.44
1/1/2017,6565.65,5351.51,1487.78,1416.03,540.26,468.75,1062.67,600.18,100.59,83.59,777.28,448.45,148.27,140.77,567.16,314.23,35,,360.8,313.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.74,39,,,,,,,,,,,,,,,,,,,35.51,,,,,,,,,,,,1967.91
2/1/2017,6788.13,5605.4,1548.22,1471.97,578.97,510.95,990.79,514.48,140.13,94.09,876.19,491.45,148.27,140.77,637.32,352.98,,,408.81,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.73,39.99,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2369.52
3/1/2017,6916.12,5634.8,1594.86,1441.41,631.62,466.61,990.31,542.93,140.67,94.63,863.43,474.85,156.5,149,725.38,446.31,82,82,454.8,398.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2943.96
4/1/2017,6930.98,5678.79,1918.21,1668.13,656.75,438.75,982.1,556.88,166.12,112.08,890.13,478.76,200.52,170.02,791.43,473.08,125.7,125.7,522.86,466.7,71.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.73,,71.5,,,,,,,,,,,,,,,,,,35.51,,,,,,,,,,,,2991.58
5/1/2017,8579.34,7112.36,1990.91,1712.57,718.96,532.22,1000.8,532.66,250.65,185.6,981.09,515.26,335.18,304.68,977,534.95,163.65,163.65,633.15,549,132.36,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.62,64.88,102.36,,,,,,,,,,,,,,,,,,67.11,,,,,,,,,,,,4824.14
6/1/2017,9265.31,7634.4,2303.28,1748.58,784.72,520.44,1186.1,665.07,304.61,239.56,1007.13,548.61,346.64,316.14,1013.09,539.02,194.9,175.4,748.92,606.8,226.88,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.73,61.99,132.31,,,,,,,,,,,,,,,,,,179.57,,,,,,,,,,,,4939.02
7/1/2017,9595.13,7955.61,2473.56,1813.62,835.98,558.63,1134.27,603.53,331.77,253.74,984.71,547.77,446.38,373.38,1433.08,662.98,237.15,200.65,834.93,579.48,212.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.73,61.99,122.35,,,,,,,,,,,,,,,,,,202.59,,,,,,,,,,,,5520.85
